stu_id,epoch,loss,accuracy
0,1,3.1482720375061035,0.6111111044883728
0,2,3.0299081802368164,0.6111111044883728
0,3,2.710245370864868,0.4444444477558136
0,4,2.6936771869659424,0.5555555820465088
0,5,2.7880523204803467,0.4444444477558136
0,6,2.7111337184906006,0.5555555820465088
0,7,2.5356063842773438,0.5555555820465088
0,8,2.4492032527923584,0.6111111044883728
0,9,2.453038454055786,0.7222222089767456
0,10,2.4250922203063965,0.7222222089767456
0,11,2.4148948192596436,0.7222222089767456
0,12,2.3951222896575928,0.7222222089767456
0,13,2.3681752681732178,0.7222222089767456
0,14,2.3363025188446045,0.7222222089767456
0,15,2.301666021347046,0.7777777910232544
0,16,2.266442060470581,0.8888888955116272
0,17,2.2329490184783936,0.8888888955116272
0,18,2.20381236076355,0.9444444179534912
0,19,2.182232618331909,1.0
0,20,2.1725950241088867,1.0
1,1,3.3305110931396484,0.6000000238418579
1,2,3.0120630264282227,0.699999988079071
1,3,2.800760507583618,0.4000000059604645
1,4,2.9628665447235107,0.5
1,5,3.0861685276031494,0.3499999940395355
1,6,2.9622738361358643,0.44999998807907104
1,7,2.751235008239746,0.550000011920929
1,8,2.620246171951294,0.6499999761581421
1,9,2.5520823001861572,0.6499999761581421
1,10,2.5093908309936523,0.75
1,11,2.5009803771972656,0.75
1,12,2.4847331047058105,0.75
1,13,2.4628140926361084,0.75
1,14,2.4372637271881104,0.75
1,15,2.4100558757781982,0.800000011920929
1,16,2.383185386657715,0.949999988079071
1,17,2.3587489128112793,1.0
1,18,2.3389580249786377,1.0
1,19,2.325873851776123,1.0
1,20,2.3206076622009277,1.0
2,1,4.975198745727539,0.40625
2,2,3.8342325687408447,0.46875
2,3,3.483738422393799,0.625
2,4,3.5938844680786133,0.71875
2,5,3.6819238662719727,0.625
2,6,3.606351137161255,0.65625
2,7,3.437697649002075,0.59375
2,8,3.363896608352661,0.5
2,9,3.441173791885376,0.40625
2,10,3.482272148132324,0.46875
2,11,3.470226287841797,0.46875
2,12,3.437668800354004,0.46875
2,13,3.3894331455230713,0.46875
2,14,3.3299262523651123,0.46875
2,15,3.263378858566284,0.4375
2,16,3.1941378116607666,0.5625
2,17,3.1268813610076904,0.59375
2,18,3.066422700881958,0.65625
2,19,3.0165274143218994,0.71875
2,20,2.97849440574646,0.59375
3,1,3.2647452354431152,0.6111111044883728
3,2,2.8914363384246826,0.5
3,3,2.6480283737182617,0.5555555820465088
3,4,2.767752170562744,0.4444444477558136
3,5,2.9174582958221436,0.4444444477558136
3,6,2.8319246768951416,0.6111111044883728
3,7,2.654285430908203,0.6666666865348816
