stu_id,epoch,loss,accuracy
0,1,3.214174509048462,0.5
0,2,2.682499408721924,0.75
0,3,2.3585195541381836,0.6875
0,4,2.6094300746917725,0.4375
0,5,2.8882017135620117,0.3125
0,6,2.8673436641693115,0.375
0,7,2.6685309410095215,0.3125
0,8,2.4774603843688965,0.5
0,9,2.34275484085083,0.6875
0,10,2.231177806854248,0.75
0,11,2.220315933227539,0.75
0,12,2.2030324935913086,0.75
0,13,2.181798219680786,0.75
0,14,2.158860206604004,0.8125
0,15,2.1362781524658203,0.8125
0,16,2.1158459186553955,0.875
0,17,2.0990419387817383,0.875
0,18,2.086801767349243,0.9375
0,19,2.0795044898986816,0.9375
0,20,2.0770814418792725,0.9375
1,1,3.1377604007720947,0.625
1,2,2.5772085189819336,0.75
1,3,2.5859158039093018,0.5625
1,4,2.745696544647217,0.375
1,5,2.79964280128479,0.375
1,6,2.676610231399536,0.4375
1,7,2.5151870250701904,0.5
1,8,2.4588449001312256,0.6875
1,9,2.4496703147888184,0.625
1,10,2.3895208835601807,0.625
1,11,2.375157356262207,0.625
1,12,2.3512494564056396,0.625
1,13,2.3201980590820312,0.625
1,14,2.28410005569458,0.625
1,15,2.244999885559082,0.6875
1,16,2.2048685550689697,0.75
1,17,2.165745496749878,0.8125
1,18,2.1299126148223877,0.8125
1,19,2.099930763244629,0.875
1,20,2.078721046447754,0.8125
2,1,3.157843589782715,0.75
2,2,3.0679399967193604,0.375
2,3,2.714761734008789,0.3125
2,4,2.6821606159210205,0.4375
2,5,2.7038803100585938,0.6875
2,6,2.6366779804229736,0.625
2,7,2.516369581222534,0.6875
2,8,2.430251121520996,0.5625
2,9,2.4158096313476562,0.5
2,10,2.4532415866851807,0.4375
2,11,2.4495785236358643,0.4375
2,12,2.4327988624572754,0.4375
2,13,2.405757188796997,0.4375
2,14,2.371175765991211,0.4375
2,15,2.331681728363037,0.5625
2,16,2.2898409366607666,0.5625
2,17,2.2481577396392822,0.6875
2,18,2.209031581878662,0.75
2,19,2.1746268272399902,0.9375
2,20,2.146653175354004,0.9375
3,1,3.468640089035034,0.5625
3,2,2.982304573059082,0.375
3,3,2.5817294120788574,0.4375
3,4,2.5954174995422363,0.5625
3,5,2.6462974548339844,0.6875
3,6,2.5943586826324463,0.6875
3,7,2.503636360168457,0.8125
3,8,2.450153112411499,0.625
3,9,2.45054292678833,0.5625
3,10,2.452695608139038,0.4375
3,11,2.4423227310180664,0.4375
3,12,2.4168782234191895,0.4375
3,13,2.3795247077941895,0.4375
3,14,2.3331942558288574,0.4375
3,15,2.2809088230133057,0.4375
3,16,2.2258551120758057,0.4375
3,17,2.1718859672546387,0.625
3,18,2.1242449283599854,0.75
3,19,2.089550733566284,0.875
3,20,2.072204113006592,0.8125
4,1,3.6692006587982178,0.5
4,2,3.152578830718994,0.375
4,3,2.5692026615142822,0.3125
4,4,2.5329782962799072,0.6875
4,5,2.5771164894104004,0.6875
4,6,2.4992287158966064,0.75
4,7,2.397162437438965,0.875
4,8,2.372100353240967,0.6875
4,9,2.4110517501831055,0.5625
4,10,2.421170473098755,0.4375
4,11,2.411428451538086,0.4375
4,12,2.388148784637451,0.4375
